(Index, Key, Element)
(0,92253,c)
(1,148225,j)
(2,112336,^)
(3,148227,B)
(4,148248,+)
(5,148222,a)
(6,148243,Y)
(7,148228,2)
(8,148234,M)
(9,148271,6)
(10,148253,5)
(11,148229,')
(12,148251,[)
(13,148258,i)
(14,148294,H)
(15,148410,&)
(16,148280,L)
(17,148292,E)
(18,148267,|)
(19,148287,q)
(20,148434,g)
(21,148268,o)
(22,148261,w)
(23,148239,l)
(24,148282,<)
(25,148564,+)
(26,148324,()
(27,148375,K)
(28,148266,G)
(29,148312,l)
(30,148630,8)
(31,148502,:)
(32,148423,4)
(33,148327,T)
(34,148302,b)
(35,148371,")
(36,148317,%)
(37,148284,1)
(38,148328,J)
(39,148326,q)
(40,148366,K)
(41,148483,))
(42,148438,$)
(43,148321,9)
(44,148338,Z)
(45,148332,8)
(46,148298,E)
(47,148255,l)
(48,148513,|)
(49,148345,h)
(50,148666,r)
(51,148687,=)
(52,148726,>)
(53,148405,8)
(54,148380,J)
(55,148593,1)
(56,148443,M)
(57,148829,B)
(58,148276,2)
(59,148419,<)
(60,148388,/)
(61,148752,_)
(62,148683,C)
(63,148506,z)
(64,148624,a)
(65,148474,t)
(66,148436,i)
(67,148762,V)
(68,148355,!)
(69,148446,_)
(70,148322,-)
(71,148524,9)
(72,148457,s)
(73,148523,{)
(74,148385,8)
(75,148424,`)
(76,148505,+)
(77,148486,r)
(78,148512,1)
(79,148462,3)
(80,148758,c)
(81,148458,U)
(82,148478,g)
(83,148925,])
(84,148584,>)
(85,148753,K)
(86,148661,1)
(87,148464,e)
(88,148451,x)
(89,148343,Q)
(90,148392,:)
(91,148336,M)
(92,148903,P)
(93,148618,j)
(94,148589,")
(95,148307,i)
(96,148463,+)
(97,149050,r)
(98,148741,q)
(99,148518,2)
(100,148400,/)
(101,148704,;)
(102,149874,Q)
(103,149579,l)
(104,149167,])
(105,148861,])
(106,148738,?)
(107,148786,;)
(108,148716,7)
(109,148497,W)
(110,149219,I)
(111,148722,?)
(112,148614,q)
(113,148801,&)
(114,148531,T)
(115,149132,x)
(116,148971,l)
(117,148362,r)
(118,148316,K)
(119,148665,c)
(120,148895,C)
(121,149247,^)
(122,148652,o)
(123,148830,y)
(124,148826,%)
(125,148712,y)
(126,148877,h)
(127,149698,%)
(128,148599,I)
(129,149205,.)
(130,149069,U)
(131,148860,Y)
(132,148571,4)
(133,148466,})
(134,148844,A)
(135,148920,t)
(136,149063,Q)
(137,148470,{)
(138,148578,t)
(139,148640,*)
(140,148496,J)
(141,148656,v)
(142,148337,5)
(143,148568,-)
(144,149129,w)
